LAT,LONG,Location
33.524755,86.81274,"Birmingham, AL"
30.679523,88.10328,"Mobile, AL"
32.361538,86.279118,"Montgomery, AL"
33.20654,87.534607,"Tuscaloosa, AL"
61.1919,149.762097,"Anchorage, AK"
64.838092,147.726378,"Fairbanks, AK"
58.351422,134.511579,"Juneau, AK"
35.19916,111.630991,"Flagstaff, AZ"
33.52837,112.0763,"Phoenix, AZ"
33.590709,111.895985,"Scottsdale, AZ"
32.214476,110.918192,"Tucson, AZ"
35.028482,110.700782,"Winslow, AZ"
36.076379,94.160912,"Fayetteville, AR"
34.736009,92.331122,"Little Rock, AR"
33.433075,94.020514,"Texarkana, AR"
35.357276,119.031661,"Bakersfield, CA"
36.781549,119.792113,"Fresno, CA"
34.086159,118.375984,"Los Angeles, CA"
33.82399,116.530339,"Palm Springs, CA"
38.555605,121.468926,"Sacramento, CA"
32.779541,117.146344,"San Diego, CA"
37.759881,122.437392,"San Francisco, CA"
39.192297,106.82447,"Aspen, CO"
39.726287,104.965486,"Denver, CO"
41.403444,73.460698,"Danbury, CT"
41.311147,72.92315,"New Haven, CT"
39.748563,75.551581,"Wilmington, DE"
26.135763,80.14181,"Fort Lauderdale, FL"
29.665245,82.336097,"Gainesville, FL"
30.319406,81.659999,"Jacksonville, FL"
25.787676,80.224145,"Miami, FL"
28.533513,81.375789,"Orlando, FL"
30.174451,85.66448,"Panama City, FL"
30.4518,84.27277,"Tallahassee, FL"
27.970898,82.46464,"Tampa, FL"
33.955464,83.383245,"Athens-Clarke County, GA"
33.759506,84.403176,"Atlanta, GA"
32.489608,84.940422,"Columbus, GA"
32.050706,81.103762,"Savannah, GA"
21.30895,157.826182,"Honolulu, HI"
43.613739,116.237651,"Boise City, ID"
42.875214,112.447267,"Pocatello, ID"
41.840675,87.679365,"Chicago, IL"
40.720737,89.609421,"Peoria, IL"
39.162147,86.529045,"Bloomington, IN"
39.790942,86.147685,"Indianapolis, IN"
40.193243,85.388194,"Muncie, IN"
41.590939,93.620866,"Des Moines, IA"
39.0392,95.689508,"Topeka, KS"
37.688848,97.336226,"Wichita, KS"
38.22887,85.749534,"Louisville, KY"
37.072226,88.627436,"Paducah, KY"
30.45809,91.140229,"Baton Rouge, LA"
29.972754,90.059011,"New Orleans, LA"
32.468003,93.771115,"Shreveport, LA"
44.81087,68.783012,"Bangor, ME"
44.385904,68.209514,"Bar Harbor, ME"
43.665116,70.269086,"Portland, ME"
39.307956,76.617016,"Baltimore, MD"
38.391526,75.069712,"Ocean City, MD"
42.321597,71.089115,"Boston, MA"
42.274488,83.739261,"Ann Arbor, MI"
42.387137,83.102641,"Detroit, MI"
42.279207,85.583902,"Kalamazoo, MI"
42.717585,84.554916,"Lansing, MI"
42.242892,83.618211,"Ypsilanti, MI"
46.780373,92.117079,"Duluth, MN"
44.964465,93.268198,"Minneapolis, MN"
